Indian Gardens Paleo Site,Arizona,34.321974,-111.110955,,Marine fossils.
Cowan Lake State Park,Ohio,39.385994,-83.902651,https://ohiodnr.gov/wps/portal/gov/odnr/go-and-do/plan-a-visit/find-a-property/cowan-lake-state-park,
East Fork State Park,Ohio,39.02589,-84.134252,https://ohiodnr.gov/wps/portal/gov/odnr/go-and-do/plan-a-visit/find-a-property/east-fork-state-park,
Georgetown - roadcuts,Ohio,38.87222,-83.91667,,
Germantown Reservoir - spillway,Ohio,39.6377,-84.400598,https://www.metroparks.org/places-to-go/germantown/,"Ordovician marine fossils, including brachiopods, bryozoa, and trilobites."
Hueston Woods - covered bridge,Ohio,39.592453,-84.770273,https://ohiodnr.gov/wps/portal/gov/odnr/go-and-do/plan-a-visit/find-a-property/hueston-woods-state-park,"Ordovician marine fossils, including brachiopods, bryozoa, and trilobites."
Hueston Woods - spillway,Ohio,39.556294,-84.733815,https://ohiodnr.gov/wps/portal/gov/odnr/go-and-do/plan-a-visit/find-a-property/hueston-woods-state-park,"Ordovician marine fossils, including brachiopods, bryozoa, and trilobites."
Miamisburg - railroad cut,Ohio,39.631822,-84.29078,,"Ordovician marine fossils, including brachiopods, bryozoa, and trilobites."
Oakes Quarry Park,Ohio,39.814103,-83.984217,http://www.beavercreekwetlands.org/maplocations-oakes.html,Silurian marine fossils.
Sylvania Fossil Park - Olander Park System,Ohio,41.712321,-83.745112,https://www.olanderpark.com/olanderpark/fossil-park/,
Trammel Fossil Park,Ohio,39.296417,-84.404785,https://www.sharonville.org/188/Trammel-Fossil-Park,
West Union - roadcut,Ohio,38.82722,-83.50555,,
Wright Brothers Memorial - railroad cut,Ohio,39.79611,-84.08694,,
Wheeler High School Fossil Beds,Oregon,45.002944,-120.214194,https://www.oregonpaleolandscenter.com/,Plant fossils from the 33-million-year-old (Oligocene) Bridge Creek Member of the John Day Formation.
Fossil Pit - Montour Preserve,Pennsylvania,41.110518,-76.647395,https://montourpreserve.org/fossil-pit/,Fossils in Mahantango shale.
Celina – roadcuts,Tennessee,36.560661,-85.450787,,Crinoid/bryozoan grainstones.
Celina – roadcuts,Tennessee,36.507301,-85.462731,,Crinoid/bryozoan grainstones.
Ladonia Fossil Park,Texas,33.457438,-95.942574,http://www.cocladonia.org/ladonia-fossil-park.html,"Cretaceous fossils, including mosasaur teeth, ammonites, bivalves and shark teeth. The Pleistocene sediments above have mammoth bones and teeth."
Mineral Wells Fossil Park,Texas,32.825748,-98.190511,https://www.mineralwellsfossilpark.com/,"Crinoids, echinoids, brachiopods, pelecypods, bryozoans, corals, trilobites, plants and primitive sharks."
U-dig Fossils,Utah,39.354909,-113.278575,https://u-digfossils.com/,"Trilobites, brachiopods, sponges, worm tracks, phyllocarids and other mid-Cambrian fossils."
Westmoreland State Park,Virginia,38.167033,-76.854534,https://www.dcr.virginia.gov/state-parks/westmoreland,"Miocene fossils, including megalodon teeth, alligators, dolphins, whales, fish, and assorted mammals."
Fossil Safari at Warfield Fossil Quarries,Wyoming,41.868175,-110.676794,http://fossilsafari.com/,"Eocene-age fish, including Knightia, Diplomystus, Phareodus, Mioplosus, Amphiplaga, and Priscacara."
